Album ID,Album Name,Release Date,Total Tracks,Track URI
5kqfR7EuGbyp8x27Pr1kY9,vampire,2023-06-30,1,spotify:track:3k79jB4aGmMDUQzEwa46Rz
4jqlP0cYR2KLC3FDppEKC5,Antichrist / Room Service,2023-06-28,2,spotify:track:2mvNAfnzB2gKVmLmNusrHR
2Xjzyzg5UuBg6fGHBs1SL2,Pakistan,2023-06-30,1,spotify:track:72bWarcvDzWp9aAsUWnVpq
2n81J4HlMoEImWaC6OLeZh,Bittersweet Goodbye,2023-06-30,1,spotify:track:5RHIevCuoIZcY1AlnJ01fN
6idz4m2nMbiHsx3QjHhdcv,Spirit 2.0,2023-06-28,1,spotify:track:3JKRuo3KhL39T6XWAXPohj
5YlBA1tCY0M8DDs75RB2LY,Messy,2023-06-30,12,spotify:track:2iq1qD2ifqpYS5J2I35u7h
052c03LAr2euUtLKgvOKae,Little Things x Gypsy Woman (L BEATS MASHUP),2023-06-30,2,spotify:track:6xp1u6ZEHXX8DxJIFFrVoP
7jasBIPf9Yop4dyY9KOVqc,Hippodrome,2023-06-27,1,spotify:track:3ouStb8Q4Tjgg6SdONuDIr
2ua5bFkZLZl1lIgKWtYZIz,Pink Tape,2023-06-30,26,spotify:track:41bmnQZoDMQdDh5zyomtW7
6MLx7SZjcmMHNUJc1Tcir0,Speed Drive (From Barbie The Album),2023-06-29,1,spotify:track:5VxmI3IdgAxWVvUnJoLuY2
0UV7EM6NwjbyINDUwEpQUg,Longevity Flow,2023-06-26,1,spotify:track:4xftWzEdtv72VcDlVvA5t0
7yT5OWUrzLWQQ5LTgGpZ36,Big Hammer,2023-06-28,1,spotify:track:3tdxmSKTmtMLlohrIxZ2EG
0kqOkJ9HCUD4AXKvvR6lb7,Dead Club City,2023-06-30,11,spotify:track:5qmNiJvNSCvXKRUlPJofZS
7kH8gHFaH8GMjaybGYAPC8,"Me, Myself & I",2023-06-29,1,spotify:track:5Up89wdeUunZgEqD8VqOTx
6WqDlSi0CRDZWTFjPNxtrI,Touching My Body / Down Shovel,2023-06-30,2,spotify:track:57PvBFABJ1F5mX69oUt8Yh
0eOYz7FB11TFzjlbdJRL4h,W4NNA DO,2023-06-26,2,spotify:track:11sA5C9rqjatq2eXzL8y33
2IdMh8hq88MtWZ9ZKNkqoa,Don't Think Twice,2023-06-30,3,spotify:track:3kWMO7rpr9VpJF8csmCPec
49fFfeqMUGml2t5z63iYNX,I'm From...,2023-06-29,1,spotify:track:6aa03WX4KldjPmL4UkwdGo
1yUD0trOHc8dudwm9VAiHs,Car Keys (Ayla),2023-06-30,1,spotify:track:00E0Z2jrF7reoHps4zcbWQ
6yNkTZJhIhSP7N8BsBzwLK,St. Charles Square,2023-06-29,2,spotify:track:0JQ3jQlKcmS3HUssKGfyLL
5efrYuGXhOR4D0blYuuP5o,See You At The Gates,2023-06-30,14,spotify:track:2c7zzkWvP4ufzRZfHLNlUD
3f2hp3hjjMTSYmuUBiPoJ7,B.O.A.T.S.,2023-06-30,9,spotify:track:5ylrzGhHsL3Wk4uEWIDD7E
1jWqXdJ2EeP9CZvIfa3F9U,Coffee Shop,2023-06-27,1,spotify:track:40tZTQ47XEMg7KT61xAEOI
08Y8xB9NINjDkoT30eCoB8,Loju (feat. Wizkid),2023-06-30,1,spotify:track:4U3RTbBmft10cAQqMYw7At
